EYFP_MEFL,mKate_MEFL,EBFP2_MEFL,FSC_Eum
2248.96,95617.24,1156.15,7.42
48036.98,472582.92,1156.15,7.15
36662.73,8681.39,15305.58,6.44
67305.56,252270.89,4675.49,8.98
1635490.94,9878286.63,246431.87,8.95
2248.96,582637.55,32402.99,10.28
51165.94,271235.28,31538.57,7.64
2248.96,27839.27,1156.15,9.64
353848.79,196925.67,1156.15,7.97
2036820.16,595028.55,117803.83,8.37
6264.61,1127050.51,13044.53,8.93
1699650.84,66356.66,1156.15,9.58
1284941.67,831256.07,33286.60,8.92
565810.04,931568.07,25579.11,7.87
126519.22,747785.20,16039.26,9.94
4292.14,421794.20,1156.15,9.91
870576.24,488594.16,23795.31,8.64
30687.58,2229.52,26822.82,9.76
1265653.93,2457941.73,31829.78,8.24
40623.81,14994.72,23940.07,8.10
10385.85,55365.48,1156.15,7.98
499170.74,1384882.00,29278.96,10.73
5421719.96,12491132.45,33561.06,7.68
2248.96,2229.52,8590.34,7.67
1530677.49,1612546.12,37845.80,7.00
2248.96,48943.25,19131.68,7.52
18672.88,2229.52,34499.65,11.07
2248.96,2229.52,6671.13,9.12
100466.31,48749.10,41202.60,8.41
2248.96,32075.39,1156.15,6.99
2248.96,277689.83,20021.36,8.71
42714.45,2229.52,1156.15,6.58
4729814.67,3602166.20,87136.99,6.50
2248.96,63790.12,14329.13,8.68
54311.23,72184.49,20084.18,8.57
446973.57,10370.10,18183.87,10.11
276995.66,686253.80,5502.44,7.81
2248.96,2229.52,1156.15,10.72
2248.96,2229.52,24903.61,7.73
5564658.54,7085794.76,18900.00,9.49
38706.25,2229.52,8590.35,7.54
5422817.29,5635075.09,19343.43,10.29
12242.99,78589.58,18163.02,8.60
691637.20,630758.92,6479.01,10.74
56154.42,99709.09,21994.97,8.58
2248.96,2229.52,1156.15,9.22
6201.42,87140.47,1156.15,8.15
7007400.28,12068168.22,1156.15,8.64
2248.96,42568.63,23931.64,8.03
66612.45,19155.35,35454.03,10.03
2248.96,2229.52,7630.74,10.82
889655.69,1357069.04,1458.99,8.65
316049.73,1207213.34,14939.23,7.79
2248.96,2229.52,1156.15,9.33
5739.79,167611.49,4701.37,9.41
48353.51,63710.17,22005.97,6.64
2248.96,29957.33,1156.15,7.90
1195546.42,1763215.03,50274.58,9.40
5973901.33,9730822.06,18091.53,8.35
108558.39,38310.06,3781.29,8.43
2248.96,2229.52,1156.15,10.23
2248.96,2229.52,1156.15,10.15
2248.96,2229.52,1156.15,8.14
2637460.86,2683260.41,12568.86,8.94
13725190.18,18951967.69,352093.50,8.87
2248.96,40438.31,26811.10,7.20
2248.96,2229.52,1156.15,10.44
26438.59,46824.85,13374.71,9.54
1717233.87,1867818.68,230647.89,10.15
2248.96,2229.52,1156.15,8.77
2248.96,2229.52,1156.15,9.23
2248.96,699264.80,1156.15,8.67
993183.75,50102.79,7616.09,8.84
2248.96,2229.52,1156.15,7.45
2248.96,3681495.75,1156.15,7.46
63510.17,214088.54,19081.20,8.96
818743.54,7792875.50,238432.87,7.97
2248.96,2229.52,46974.50,7.60
258501.59,1118252.45,29360.46,8.52
587944.88,558719.82,37208.31,7.27
1658888.06,7193005.75,146494.37,9.81
2248.96,2229.52,28742.02,7.66
2248.96,2229.52,1156.15,8.81
4519601.17,15194697.28,28896.28,8.51
3407451.82,3487144.37,57424.47,8.36
8687303.68,69853217.24,1156.15,9.30
164940.56,679997.19,9342.77,10.03
2248.96,2229.52,29701.62,9.64
1151481.42,1072987.30,1156.15,10.80
2060424.59,14013337.53,1156.15,8.47
917941.76,1310430.89,4352.05,9.46
2248.96,2229.52,4751.93,10.12
5940750.01,23610429.70,14808.70,8.88
1632626.34,2677453.24,123884.54,9.99
2248.96,2229.52,1156.15,9.10
2248.96,2229.52,1156.15,10.28
2248.96,2229.52,1156.15,9.54
128777.57,2229.52,8590.38,8.52
493426.97,2735978.48,81644.13,9.22
2248.96,72318.56,1156.15,8.46
1450469.17,220578.59,153423.58,9.48
29545129.32,34862775.52,47834.21,9.84
2248.96,2229.52,1156.15,8.89
2248.96,2229.52,1156.15,8.66
3275944.30,10752264.93,36971.36,10.09
122776.71,2229.52,2832.76,7.41
3407334.53,35367877.54,579299.67,10.74
2248.96,2229.52,14347.96,6.96
2248.96,351902.71,1156.15,8.78
2248.96,2229.52,1156.15,7.83
2314122.30,7084947.82,1156.15,10.72
15385936.13,58732835.47,22305.65,9.72
2248.96,2229.52,21065.19,9.07
413616.37,22699022.32,1156.15,10.62
2248.96,2229.52,8590.34,9.88
2248.96,2229.52,20105.59,8.43
2248.96,2229.52,1156.15,8.17
456292.30,1183764.04,16865.61,9.58
2248.96,2229.52,10509.55,9.67
2248.96,2229.52,9549.94,9.08
2248.96,2229.52,11469.15,7.86
110758.76,2229.52,15307.60,10.03
2248.96,2229.52,17226.78,9.75
2248.96,2229.52,1156.15,7.41
8043563.35,7972940.57,1156.15,7.53
2248.96,2229.52,1156.15,8.90
26317145.10,25257341.40,342489.37,10.36
2248.96,2229.52,1156.15,9.32
2248.96,2229.52,1156.15,10.46
535790.92,7166507.14,668526.28,8.55
2248.96,1190655.17,1156.15,10.41
