EYFP_ERF,mKate_ERF,EBFP2_ERF
2248.96,2229.52,1156.15
2248.96,2044206.39,7006.58
548156.48,3327205.19,1156.15
107464.33,228894.74,13319.06
1499778.04,367322.82,1156.15
2248.96,8618.34,38336.06
1431913.93,8398884.98,33852.29
1051731.83,45918441.11,11828.45
10689.10,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,36311.51,1156.15
517867.46,565235.12,16095.06
716705.18,92630.35,34471.97
3675799.66,3470171.23,1156.15
64513.23,40484.11,1156.15
1595782.79,3186348.86,1156.15
28673.68,358227.93,1156.15
2248.96,2229.52,21065.19
2124426.74,10162659.51,1156.15
4249398.85,9232800.80,1156.15
2248.96,2229.52,23944.00
178676.06,27659.77,1156.15
2248.96,642061.83,4556.35
1170474.52,901406.03,1156.15
12435.77,46891.19,1156.15
428831.42,732577.99,33316.76
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
1956625.01,2035881.43,1156.15
108749.15,356028.49,1156.15
2248.96,32064.16,3783.20
2248.96,741626.03,1156.15
395493.74,10088173.88,1156.15
4684.34,2229.52,1156.15
86585.40,29835.67,9541.49
12119839.12,29183098.65,11186.15
2011303.55,14905093.85,1156.15
157553.07,3730031.62,1156.15
690416.09,1196302.84,1156.15
2248.96,2229.52,1156.15
8239.26,80784.25,1156.15
32280.41,74316.76,22002.73
26332.43,65903.75,9530.47
50163.78,99804.08,1156.15
8373861.79,7610243.73,39850.96
4598.61,17246.47,1156.15
2248.96,2229.52,13388.36
714062.30,1609185.01,27291.20
2248.96,49019.88,1156.15
1770340.71,1006667.07,8283.31
2925794.09,2666074.82,1156.15
12363.27,59599.56,1156.15
822243.81,192213.45,1156.15
2248.96,80701.91,22000.78
32237.27,82821.70,14323.31
362660.38,406603.59,1156.15
25443.89,222676.06,1156.15
1819615.24,1843278.18,1156.15
18440.53,46885.09,1156.15
776094.41,6876788.44,7448.66
2248.96,2229.52,1156.15
107784.72,2279218.36,1156.15
2248.96,2229.52,1156.15
158752.90,8516.41,24901.65
926612.62,6806743.68,6510.46
2248.96,2229.52,1156.15
1387492.60,9169956.92,20182.17
1355460.35,7765645.37,38843.86
2248.96,68082.44,1156.15
2248.96,6658.65,1156.15
34074.22,112501.14,7597.02
26328.68,61491.88,50794.73
62186.98,93295.66,34471.76
58271.65,78493.74,29678.27
63564.91,555086.26,20896.18
32106.69,103941.01,28710.89
2248.96,89247.74,4725.32
473991.44,1942056.87,5118.59
294482.90,775071.45,34263.37
2248.96,1046525.80,24584.37
454286.57,131062.87,24864.19
799071.23,1092265.95,34166.42
38477.61,38221.86,41205.82
722891.27,2845319.72,214035.87
2248.96,44703.04,20092.58
2248.96,2229.52,39297.66
12648.91,8738.50,7628.74
2248.96,23603.14,1156.15
2248.96,10894.77,1156.15
2248.96,2229.52,1156.15
18695.44,2229.52,1156.15
2408867.21,29771279.22,1156.15
2248.96,21485.08,1156.15
47449.80,222581.14,18119.00
6337482.67,10202691.87,38098.95
2248.96,2229.52,1156.15
1173897.89,4862154.95,1156.15
2248.96,2229.52,1156.15
603158.14,2229.52,1156.15
18593.89,19326.79,6665.90
66297.30,78607.19,1156.15
1397077.97,7492545.25,1156.15
327176.91,3117742.81,1156.15
68359.31,68014.84,1156.15
604687.34,84414.07,1156.15
65383.29,586842.85,23765.28
2248.96,2229.52,7630.74
1221362.35,2506835.70,1156.15
28174.33,93420.17,13360.47
2248.96,559457.41,4581.60
1153993.08,981848.39,15008.12
2248.96,2229.52,1156.15
2248.96,273534.42,1156.15
2248.96,2229.52,1156.15
1158389.18,213052.25,1156.15
60147.54,104030.03,1156.15
597800.42,239038.68,1156.15
60723.04,2229.52,9549.96
6368279.26,5511352.32,1156.15
2248.96,23559.21,11462.62
48544.99,730862.82,29478.87
601562.31,1683504.68,9995.64
2248.96,2229.52,1156.15
2248.96,101890.71,20075.10
2326003.48,2543736.52,24126.74
32669.45,4359.41,36418.15
36698.18,2229.52,18186.39
106368.16,67842.34,32560.34
1565312.30,2209878.44,19430.77
2248.96,32075.39,1156.15
1207617.01,2460252.53,1156.15
2248.96,13012.83,1156.15
2248.96,4540.59,1156.15
2248.96,61631.19,23925.81
12807225.39,24120159.63,36723.75
921410.14,2229.52,1156.15
234936.91,1042148.21,1156.15
2248.96,2229.52,1156.15
20683.80,4521.82,1156.15
332748.72,1088645.93,1156.15
83161.14,279789.41,4667.08
134476.40,404620.41,23820.98
70590.49,27769.64,1156.15
1020500.67,876141.90,1156.15
77847.62,159081.31,1156.15
2248.96,2229.52,1156.15
265099.19,665036.34,17024.16
2466.61,38368.84,15296.50
16475.20,40532.94,1156.15
2248.96,733153.81,1156.15
100471.54,1806900.69,1156.15
42226.37,1133175.99,58143.98
3638772.56,6100819.15,1156.15
43606.32,195066.76,14289.00
158874.49,688393.77,28532.25
228848.60,4310.23,1156.15
2248.96,6658.65,1156.15
231564.69,580405.69,3615.59
2248.96,12993.43,5708.23
1229453.65,382261.48,39181.45
177125.21,289969.37,78553.36
331243.71,298566.99,12338.16
2248.96,135860.41,1156.15
2793401.66,1662185.67,16719.37
475667.40,1999246.51,4141.51
2709053.51,8376455.35,22343.91
122716.28,12890.31,1156.15
2248.96,2229.52,1156.15
26398.53,55349.20,1156.15
2248.96,61728.25,1156.15
18638.33,10830.03,12426.11
2248.96,2229.52,13388.36
26270.06,76481.80,12406.04
2248.96,2229.52,2832.72
1236077.51,6939743.80,35257.89
98854.87,1739113.60,3261.42
12690.68,2229.52,1156.15
2460037.76,5362719.85,24224.69
48243.45,82764.55,23919.35
44666.56,10851.59,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,12428.76
180328.58,438519.82,10376.18
30704.94,2229.52,1156.15
18692.35,2229.52,5711.53
1495727.23,3182211.63,1156.15
32450.88,44672.07,20092.59
383650.89,4445702.44,1156.15
34697.24,2229.52,17226.79
24548.51,23393.32,45048.76
44335.43,419632.39,1745.53
1527795.69,15641.96,14343.85
8911.59,313768.99,1156.15
8485398.21,28060072.75,1156.15
2248.96,2229.52,51772.51
2179293.79,2647657.92,26973.78
2248.96,80790.80,1156.15
698227.45,1225785.08,38923.62
60592.62,23454.80,22018.28
48710.93,2229.52,13388.38
112406.25,65852.02,1156.15
1144726.14,151627.38,4706.25
28448.45,46874.92,1156.15
3945.03,1184292.31,1156.15
2248.96,15130.90,1156.15
58727.13,2229.52,1156.15
2248.96,114668.56,3757.95
1811330.97,1892001.68,1156.15
54212.21,91308.35,5684.29
2248.96,112541.87,5677.80
2248.96,15130.90,1156.15
266777.67,372812.27,1156.15
2248.96,2229.52,1156.15
2248.96,34193.45,1156.15
2248.96,2229.52,1156.15
2248.96,6602.46,14346.61
88750.91,2229.52,1156.15
65663.90,188714.72,8533.33
1192041.53,278677.57,1156.15
2458109.88,4651162.57,1156.15
2248.96,2229.52,1156.15
5331322.91,16411888.55,1156.15
1544135.70,657304.39,35258.97
66425.20,55276.84,8574.11
92384.08,65832.52,10490.09
42714.45,2229.52,1156.15
1315094.51,10635813.48,1156.15
2248.96,2229.52,1156.15
2056694.40,3084006.58,48911.26
74739.80,2229.52,1156.15
20697.02,2229.52,1156.15
882688.51,2574835.99,28915.24
529751.38,1990674.40,14699.76
137217.97,2378594.77,33773.24
66523.57,36148.89,23933.60
459044.07,2229.52,1156.15
160807.96,2229.52,1156.15
69716.06,531866.29,1156.15
2248.96,159159.08,1156.15
487015.75,1063072.47,1156.15
57986.17,129355.83,22945.51
24614.46,17226.12,1156.15
6682.20,2229.52,6671.13
528311.26,1891086.60,24326.23
56301.46,76499.30,1156.15
1549833.01,1066228.29,1156.15
153782.61,531780.83,1156.15
3133862.40,6541894.02,1156.15
32620.80,17217.98,1156.15
2248.96,32075.39,1156.15
297241.66,995423.43,15963.57
16580777.25,40160731.11,1156.15
2248.96,2229.52,1156.15
2248.96,68082.44,1156.15
24481.53,40524.80,1156.15
882664.82,1176968.37,18786.89
407040.89,1041769.90,48575.89
683501.67,654089.26,1156.15
