Id,BinCenters,BinCount_EYFP_MEFL,BinCount_mKate_MEFL,BinCount_EBFP2_MEFL
,22390000,4,96,941
,28180000,3,52,709
,35480000,3,25,525
,44670000,1,24,424
,56230000,0,8,259
,70790000,0,7,156
,89130000,0,0,121
,112200000,0,2,82
,141300000,0,0,51
,177800000,0,0,31
,223900000,0,0,14
,281800000,0,0,4
,354800000,0,0,2
,446700000,0,0,1
,562300000,0,0,0
,707900000,0,0,0
,891300000,0,0,0
,1122000000,0,0,0
,1413000000,0,0,0
,1778000000,0,0,0
,2239000000,0,0,0
,2818000000,0,0,0
,3548000000,0,0,0
,4467000000,0,0,0
,5623000000,0,0,0
,7079000000,0,0,0
,8913000000,0,0,0
Dox 500.0,11220,4013,2097,1067
,14130,4874,2490,1986
,17780,5431,2986,1970
,22390,5660,4169,2040
,28180,5240,4318,2861
,35480,5207,5158,3681
,44670,3894,5564,4182
,56230,2882,5664,4263
,70790,2534,5386,4651
,89130,2434,4175,3706
,112200,2542,3375,3277
,141300,2811,2905,2681
,177800,2925,2868,2475
,223900,3035,3305,2614
,281800,3265,3576,2961
,354800,3215,3760,3343
,446700,3197,4049,3594
,562300,3009,4068,3601
,707900,2681,3964,3698
,891300,2492,3702,3735
,1122000,2081,3504,3837
,1413000,1699,3032,3730
,1778000,1415,2535,3775
,2239000,1063,1992,3800
,2818000,805,1529,3675
,3548000,609,1185,3611
,4467000,470,881,3441
,5623000,334,631,3286
,7079000,224,464,2948
,8913000,160,316,2591
,11220000,87,219,2283
,14130000,67,146,2013
,17780000,47,88,1705
,22390000,28,45,1336
,28180000,9,37,1059
,35480000,8,14,773
,44670000,2,11,628
,56230000,1,8,452
,70790000,1,0,303
,89130000,0,0,190
,112200000,0,0,135
,141300000,0,1,85
,177800000,0,0,48
,223900000,0,0,28
,281800000,0,0,18
,354800000,0,0,2
,446700000,0,0,1
,562300000,0,0,0
,707900000,0,0,0
,891300000,0,0,0
,1122000000,0,0,0
,1413000000,0,0,0
,1778000000,0,0,0
,2239000000,0,0,0
,2818000000,0,0,0
,3548000000,0,0,0
,4467000000,0,0,0
,5623000000,0,0,0
,7079000000,0,0,0
,8913000000,0,0,0
Dox 1000.0,11220,3432,2031,996
,14130,4304,2425,1728
,17780,4943,3121,1791
,22390,5044,4165,1767
,28180,4788,4349,2524
,35480,4732,5182,3306
,44670,3819,5765,3742
,56230,3071,6112,4012
,70790,2641,5823,4362
,89130,2599,4761,3770
,112200,2909,4041,3451
,141300,3123,3738,2978
,177800,3517,3617,2610
,223900,3825,3847,2748
,281800,4114,4012,3095
,354800,4280,4343,3487
,446700,4235,4288,3723
,562300,4236,4239,3797
,707900,4030,3749,3826
,891300,3621,3497,4074
,1122000,3179,3085,4082
,1413000,2772,2481,4219
,1778000,2322,1949,4234
,2239000,1876,1484,4167
,2818000,1439,1113,3959
,3548000,1041,835,4068
,4467000,782,601,3804
,5623000,543,447,3564
,7079000,369,268,3371
,8913000,255,201,3038
,11220000,223,130,2646
,14130000,112,91,2332
,17780000,66,52,1857
,22390000,42,34,1559
,28180000,13,19,1240
,35480000,9,11,926
,44670000,6,6,760
,56230000,0,3,486
,70790000,1,1,344
,89130000,0,1,248
,112200000,0,0,164
,141300000,0,0,87
,177800000,0,0,66
,223900000,0,0,42
,281800000,0,0,12
,354800000,0,0,2
,446700000,0,0,0
,562300000,0,0,0
,707900000,0,0,0
,891300000,0,0,0
,1122000000,0,0,0
,1413000000,0,0,0
,1778000000,0,0,0
,2239000000,0,0,0
,2818000000,0,0,0
,3548000000,0,0,0
,4467000000,0,0,0
,5623000000,0,0,0
,7079000000,0,0,0
,8913000000,0,0,0
Dox 2000.0,11220,3157,2135,884
,14130,3946,2510,1695
,17780,4598,3211,1599
,22390,4704,4287,1763
,28180,4753,4561,2526
,35480,4851,5423,3184
,44670,3991,6146,3638
,56230,3107,6735,3921
,70790,2779,6380,4264
,89130,2736,5502,3724
,112200,2952,4725,3457
,141300,3243,4165,3201
,177800,3815,4164,2731
,223900,4191,4160,2926
,281800,4728,4333,3206
,354800,4951,4426,3604
,446700,5329,4311,3852
,562300,5216,4280,3954
,707900,5126,3867,4354
,891300,4621,3343,4339
,1122000,4322,2856,4472
,1413000,3775,2144,4427
,1778000,2983,1768,4663
,2239000,2420,1330,4603
,2818000,1772,935,4566
,3548000,1345,640,4366
,4467000,1029,475,4138
,5623000,682,340,3914
,7079000,527,217,3750
,8913000,318,119,3303
,11220000,208,88,3050
,14130000,112,47,2539
,17780000,73,26,2178
,22390000,43,17,1768
,28180000,20,7,1518
,35480000,7,7,1085
,44670000,3,4,764
,56230000,2,1,521
,70790000,0,0,381
,89130000,0,0,225
,112200000,0,0,147
,141300000,0,0,106
,177800000,0,0,58
,223900000,0,0,28
,281800000,0,0,20
,354800000,0,0,9
,446700000,0,0,2
,562300000,0,0,1
,707900000,0,0,0
,891300000,0,0,0
,1122000000,0,0,0
,1413000000,0,0,0
,1778000000,0,0,0
,2239000000,0,0,0
,2818000000,0,0,0
,3548000000,0,0,0
,4467000000,0,0,0
,5623000000,0,0,0
,7079000000,0,0,0
,8913000000,0,0,0
